"Protein","Count_NP","Count_Comp","Count_ABP","Mean_NP","Mean_Comp","Mean_ABP","Fold_change_NP_vs_Comp","Fold_change_NP_vs_ABP","Fold_change_Comp_vs_ABP","P_value_A_NP_vs_Comp","P_value_A_NP_vs_ABP","P_value_A_Comp_vs_ABP","Flag_A_NP_vs_Comp","Flag_A_NP_vs_ABP","Flag_A_Comp_vs_ABP","Protein_Collection_ID","Protein_Collection","Description","Reference_ID","Residue_Count","Monoisotopic_Mass","Protein_ID"
"tr|D3ZC63|D3ZC63_RAT",1,1,0,4.65257034465776,4.64975926207213,NA,0.00281108258563645,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Thymidylate_kin domain-containing protein OS=Rattus norvegicus (",143089771,447,50081.8828125,225869
"sp|P15393|C11B1_RAT",1,0,1,4.57447063450666,NA,4.89183027810027,NA,-0.317359643593606,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Cytochrome P450 11B1, mitochondrial OS=Rattus norvegicus (Rat) O",143079865,499,57421.7734375,216824
"sp|B2GV77|NXT2_RAT",0,2,1,NA,4.80330905431589,4.76621112241301,NA,NA,0.0370979319028804,NA,NA,0.743317728373742,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","NTF2-related export protein 2 OS=Rattus norvegicus (Rat) OX=1011",143078291,142,16354.987304688,5198767
"tr|D3Z919|D3Z919_RAT",2,0,0,4.60224186141003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Interferon alpha-12-like OS=Rattus norvegicus (Rat) OX=10116 GN=",143089371,184,21244.720703125,5211950
"sp|Q9JJ09|NPT2B_RAT",0,0,1,NA,NA,4.59738752379909,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Sodium-dependent phosphate transport protein 2B OS=Rattus norveg",143085638,695,75942.4765625,214356
"tr|A0A0G2QC30|A0A0G2QC30_RAT",0,0,1,NA,NA,4.74517355542692,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Hypothetical protein LOC502684 OS=Rattus norvegicus (Rat) OX=101",143088409,356,41898.177015231,49658585
"tr|M0R9C1|M0R9C1_RAT",0,0,1,NA,NA,4.45766116200007,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Uncharacterized protein OS=Rattus norvegicus (Rat) OX=10116 GN=E",143097876,206,23655.886028455,49663431
"sp|Q6AYK6|CYBP_RAT",2,2,2,4.78615982255807,4.7315368354108,4.73184960425873,0.0546229871472654,0.0543102182993369,-0.000312768847928524,0.424325098545013,0.426687500421403,0.996117244427456,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Calcyclin-binding protein OS=Rattus norvegicus (Rat) OX=10116 GN",143084323,229,26524.708984375,213549
"tr|F7F5J1|F7F5J1_RAT",1,0,2,4.91630288970875,NA,4.9317288272988,NA,-0.0154259375900416,NA,NA,0.969230911750614,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","BHLH domain-containing protein OS=Rattus norvegicus (Rat) OX=101",143096690,476,52715.258081601,49662170
"tr|D3ZCW5|D3ZCW5_RAT",2,0,0,4.74967487469427,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Mannosyltransferase OS=Rattus norvegicus (Rat) OX=10116 GN=Alg9",143089878,429,47699.523736642,19344128
"tr|D4A740|D4A740_RAT",2,1,2,4.77488609012048,4.6126586866728,4.69582442405627,0.162227403447675,0.0790616660642023,-0.0831657373834727,0.51653251906236,0.686913405626745,0.727570548771743,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","SEFIR domain-containing protein OS=Rattus norvegicus (Rat) OX=10",143093750,868,97887.025158332,19344514
"tr|F1M111|F1M111_RAT",1,1,0,4.83458060317162,4.47964792389465,NA,0.35493267927697,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Myosin VC OS=Rattus norvegicus (Rat) OX=10116 GN=Myo5c PE=3 SV=2",143095926,1742,202179,5201120
"sp|Q4FZU6|ANXA8_RAT",1,1,0,4.66141845643068,4.72110122598484,NA,-0.0596827695541595,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Annexin A8 OS=Rattus norvegicus (Rat) OX=10116 GN=Anxa8 PE=1 SV=",143082121,327,36682.60546875,220650
"tr|D4A7C3|D4A7C3_RAT",1,0,0,4.73926052712393,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","N-acetylaspartylglutamate synthase OS=Rattus norvegicus (Rat) OX",143093781,380,41529.9453125,214020
"tr|D4A0W4|D4A0W4_RAT",0,0,1,NA,NA,4.6470347194528,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","BAF chromatin-remodeling complex subunit BCL11B OS=Rattus norveg",143092934,921,98555.314611123,49659954
"sp|P60711|ACTB_RAT",3,3,3,5.41954926584388,5.41490812834165,5.22073894052593,0.00464113750223749,0.198810325317956,0.194169187815718,0.991045636690574,0.634142116485759,0.64192500422559,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Actin, cytoplasmic 1 OS=Rattus norvegicus (Rat) OX=10116 GN=Actb",143081085,375,41709.7265625,84214
"tr|Q5J3G7|Q5J3G7_RAT",0,0,1,NA,NA,4.49887765257131,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Vomeronasal type-1 receptor OS=Rattus norvegicus (Rat) OX=10116",143098851,310,36117.67578125,236048
"sp|P40329|SYRC_RAT",3,1,0,5.52688086010867,4.72219310115558,NA,0.804687758953092,NA,NA,0.413194246466656,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Arginine--tRNA ligase, cytoplasmic OS=Rattus norvegicus (Rat) OX",143080622,660,75762.0390625,7281707
"tr|F7EXD0|F7EXD0_RAT",1,0,0,4.82523019346938,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","DET1 partner of COP1 E3 ubiquitin ligase OS=Rattus norvegicus (R",143096659,550,63825.0546875,5200525
"sp|P63102|1433Z_RAT",3,3,3,5.07392142848828,5.60665978597384,5.54007998776023,-0.532738357485563,-0.46615855927195,0.0665797982136134,0.098339404975031,0.137948193795759,0.815092704317211,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","14-3-3 protein zeta/delta OS=Rattus norvegicus (Rat) OX=10116 GN",143081256,245,27753.7421875,101016
"sp|Q4L0E8|RGS18_RAT",0,1,0,NA,4.81526735845328,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Regulator of G-protein signaling 18 OS=Rattus norvegicus (Rat) O",143082228,235,27627.1015625,215200
"tr|D4AE96|D4AE96_RAT",1,0,1,4.5797631039337,NA,4.80217262113908,NA,-0.222409517205376,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Importin N-terminal domain-containing protein OS=Rattus norvegic",143094818,1038,119411.8359375,5610353
"sp|Q07303|EPOR_RAT",0,0,1,NA,NA,4.58880963491796,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Erythropoietin receptor OS=Rattus norvegicus (Rat) OX=10116 GN=E",143081753,507,55464.69140625,212910
"tr|Q334I2|Q334I2_RAT",1,0,0,4.65754590183006,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Transporter OS=Rattus norvegicus (Rat) OX=10116 GN=Slc6a14 PE=2",143098530,640,71795.8984375,221010
"sp|P14173|DDC_RAT",3,3,3,4.79017179445464,4.85393842184201,4.79303906770629,-0.0637666273873787,-0.00286727325165526,0.0608993541357234,0.510319792630286,0.97592160545993,0.528837343028304,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Aromatic-L-amino-acid decarboxylase OS=Rattus norvegicus (Rat) O",143079819,480,54018.41015625,246888
"sp|P22717|GCYB2_RAT",0,0,1,NA,NA,4.64328841845736,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Guanylate cyclase soluble subunit beta-2 OS=Rattus norvegicus (R",143080149,682,76147.671875,5245615
"tr|F1M3M0|F1M3M0_RAT",1,0,1,4.75185066411069,NA,4.86548333921376,NA,-0.113632675103075,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Cysteine protease OS=Rattus norvegicus (Rat) OX=10116 GN=Atg4c P",143096096,455,51716.662782357,49661621
"tr|G3V867|G3V867_RAT",0,0,1,NA,NA,4.74965800206538,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Progestin and adipoQ receptor family member 7 OS=Rattus norvegic",143096983,359,40771.161024497,49662617
"tr|D3ZTT6|D3ZTT6_RAT",0,1,1,NA,4.70437293715489,4.77051225551364,NA,NA,-0.0661393183587498,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Olfactory receptor OS=Rattus norvegicus (Rat) OX=10116 GN=Olr625",143091994,311,35845.19140625,233634
"sp|P97694|CYH1_RAT",2,0,1,4.66714378802306,NA,4.75369926874199,NA,-0.0865554807189213,NA,NA,0.520331500731296,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Cytohesin-1 OS=Rattus norvegicus (Rat) OX=10116 GN=Cyth1 PE=1 SV",143081554,398,46244.32421875,216188
"sp|Q4KM62|PALMD_RAT",3,3,0,5.972954621388,4.52298214337369,NA,1.44997247801431,NA,NA,0.000314861629893479,NA,NA,1,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Palmdelphin OS=Rattus norvegicus (Rat) OX=10116 GN=Palmd PE=1 SV",143082210,551,62380.41796875,227273
"tr|D3ZRN5|D3ZRN5_RAT",0,2,3,NA,4.69741644922485,4.65019112967887,NA,NA,0.04722531954598,NA,NA,0.835662963799232,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","TROVE domain-containing protein OS=Rattus norvegicus (Rat) OX=10",143091704,538,60004.00390625,5196651
"tr|F1M812|F1M812_RAT",1,0,0,4.75310400749209,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","GP-PDE domain-containing protein OS=Rattus norvegicus (Rat) OX=1",143096379,603,69872.058534549,49661889
"tr|A0A0G2K1T7|A0A0G2K1T7_RAT",0,1,0,NA,4.63277637299167,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Aryl hydrocarbon receptor nuclear translocator-like 2 OS=Rattus",143087306,581,64816.890229152,49656732
"sp|O35331|PDXK_RAT",0,3,3,NA,5.76271963704851,5.85735307041567,NA,NA,-0.0946334333671501,NA,NA,0.447067381091805,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Pyridoxal kinase OS=Rattus norvegicus (Rat) OX=10116 GN=Pdxk PE=",143078881,312,34885.640625,216813
"sp|P11345|RAF1_RAT",1,0,1,4.77525154254514,NA,4.71154750694578,NA,0.0637040355993621,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","RAF proto-oncogene serine/threonine-protein kinase OS=Rattus nor",143079716,648,72881.7578125,212271
"sp|Q5XIU7|CA105_RAT",0,1,0,NA,4.77996530174368,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Uncharacterized protein C1orf105 homolog OS=Rattus norvegicus (R",143083328,199,23065.0078125,223922
"tr|D4AC62|D4AC62_RAT",1,0,0,4.67701569076109,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","IF rod domain-containing protein OS=Rattus norvegicus (Rat) OX=1",143094475,295,34012.48828125,5211499
"sp|P49911|AN32A_RAT",0,3,3,NA,4.79926281326379,5.06659954424424,NA,NA,-0.267336730980452,NA,NA,0.0831529219868742,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Acidic leucine-rich nuclear phosphoprotein 32 family member A OS",143080803,247,28547.263671875,213810
"sp|Q4KM33|PLEK_RAT",0,0,1,NA,NA,4.77574651964271,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Pleckstrin OS=Rattus norvegicus (Rat) OX=10116 GN=Plek PE=1 SV=1",143082200,350,39970.48046875,216863
"tr|D3ZY07|D3ZY07_RAT",1,2,0,4.68572659180252,4.71988380061119,NA,-0.0341572088086659,NA,NA,0.906354098387607,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Serine/threonine-protein kinase PLK OS=Rattus norvegicus (Rat) O",143092561,595,65834.059923098,19347470
"sp|P20909|COBA1_RAT",1,0,0,4.63578759142959,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Collagen alpha-1(XI) chain OS=Rattus norvegicus (Rat) OX=10116 G",143080092,1804,180915.93487994,19346553
"tr|M0RD46|M0RD46_RAT",2,3,2,5.21024369900763,5.69955998408194,5.33152944577836,-0.489316285074317,-0.121285746770736,0.36803053830358,0.586693496266658,0.90018576103451,0.679988524535755,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Rattus norvegi",143098316,313,35372.23046875,235321
"tr|D3ZHU0|D3ZHU0_RAT",0,1,0,NA,4.58841976072366,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Olfactory receptor OS=Rattus norvegicus (Rat) OX=10116 GN=Olr418",143090540,310,35126.63671875,235432
"tr|F1LTH0|F1LTH0_RAT",0,2,1,NA,4.63139633744428,4.70284781440722,NA,NA,-0.071451476962932,NA,NA,0.45496256796582,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Zinc finger protein 473 OS=Rattus norvegicus (Rat) OX=10116 GN=Z",143095326,967,110219.0546875,5202774
"tr|D3ZG58|D3ZG58_RAT",1,0,0,4.83238692150606,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Protein zwilch homolog OS=Rattus norvegicus (Rat) OX=10116 GN=Zw",143090313,597,67897.964433358,49659289
"tr|D3ZDU2|D3ZDU2_RAT",0,2,1,NA,4.65660264398226,4.80316764340736,NA,NA,-0.146564999425098,NA,NA,0.436179125935799,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","WD_REPEATS_REGION domain-containing protein OS=Rattus norvegicus",143089998,1335,149397.34375,227995
"tr|D4A6H3|D4A6H3_RAT",0,1,0,NA,5.1318818143734,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","STEAP2 metalloreductase OS=Rattus norvegicus (Rat) OX=10116 GN=S",143093681,489,55756.5390625,229545
"sp|Q8VHW5|CCG8_RAT",2,1,0,4.74583756552201,4.88289384928146,NA,-0.137056283759453,NA,NA,0.16511222683767,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Voltage-dependent calcium channel gamma-8 subunit OS=Rattus norv",143085198,421,43242.0234375,216446
"tr|B5DFD4|B5DFD4_RAT",1,0,0,4.78882901475024,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","SIR2_2 domain-containing protein OS=Rattus norvegicus (Rat) OX=1",143089178,357,40408.4609375,222654
"tr|D4A648|D4A648_RAT",1,0,1,4.82460902841384,NA,4.65988287800001,NA,0.164726150413831,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Non-specific serine/threonine protein kinase OS=Rattus norvegicu",143093653,487,55335.6484375,224654
"sp|P18163|ACSL1_RAT",2,3,2,4.66242397731092,4.77286410109494,4.73041607677078,-0.110440123784023,-0.0679920994598593,0.0424480243241634,0.0627549354120363,0.223883006136309,0.38114466424054,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Long-chain-fatty-acid--CoA ligase 1 OS=Rattus norvegicus (Rat) O",143079956,699,78128.2109375,211167
"sp|Q6AYM0|CG031_RAT",0,0,2,NA,NA,4.68210913508646,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Uncharacterized protein C7orf31 homolog OS=Rattus norvegicus (Ra",143084332,588,67939.7734375,217198
"sp|Q4V8I4|DEFI8_RAT",1,0,0,4.67552593828132,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Differentially expressed in FDCP 8 homolog OS=Rattus norvegicus",143082368,451,52662.90625,221824
"tr|M0RDU9|M0RDU9_RAT",1,0,2,4.64878018676042,NA,5.21078648167243,NA,-0.562006294912012,NA,NA,0.628424673575602,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","ADP-ribosylation factor-like GTPase 13B OS=Rattus norvegicus (Ra",143098399,427,47989.51171875,223380
"tr|B5DFG0|B5DFG0_RAT",3,3,0,4.74278224596252,4.5914253948064,NA,0.151356851156118,NA,NA,0.120118862172676,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Coiled-coil domain containing 70 OS=Rattus norvegicus (Rat) OX=1",143089189,223,27568.87890625,212845
"tr|A0A0G2K0U8|A0A0G2K0U8_RAT",0,0,1,NA,NA,4.54182073706245,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","tRNA pseudouridine(55) synthase OS=Rattus norvegicus (Rat) OX=10",143087197,528,59993.6875,224713
"tr|D3ZE80|D3ZE80_RAT",0,0,1,NA,NA,4.40347650393269,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","N-terminal Ras-GEF domain-containing protein OS=Rattus norvegicu",143090046,218,25138.556640625,5203439
"tr|D3ZKL6|D3ZKL6_RAT",0,1,0,NA,4.61974310333239,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Takusan domain-containing protein OS=Rattus norvegicus (Rat) OX=",143090906,194,23307.788412021,49659428
"sp|P35560|KCNJ1_RAT",1,0,0,4.69099164664268,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","ATP-sensitive inward rectifier potassium channel 1 OS=Rattus nor",143080531,391,44934.26171875,213959
"sp|P59996|PCSK9_RAT",2,0,1,4.8692142717458,NA,4.60489580100653,NA,0.264318470739268,NA,NA,0.348995131986761,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Proprotein convertase subtilisin/kexin type 9 OS=Rattus norvegic",143081071,691,74661.484375,5203163
